id,couponNo,expiryDate,maxUses
1,WA1AV74L27D613902,3/26/2024,9
2,19VDE1F5XFE351826,3/9/2024,10
3,WAUDH94F68N753668,3/6/2024,3
4,1FTEW1E80AF618214,3/28/2024,10
5,W04GX5GV4B1136325,3/5/2024,5
6,1G6DM8ED0B0284591,3/27/2024,5
7,1FBNE3BLXBD842583,3/11/2024,7
8,1G4GA5EC2AF043180,2/29/2024,6
9,WBA3B1G50FN641690,3/17/2024,8
10,WAUBNAFB1BN445990,3/11/2024,1
11,WUARL48H78K810924,3/19/2024,2
12,WAUDF98E28A548945,3/11/2024,10
13,1G4HE5EM9AU639495,3/14/2024,2
14,JN1AZ4EH0FM797080,3/15/2024,10
15,3C63DPAL4CG322098,2/29/2024,3
16,1G6KD57Y39U329659,3/27/2024,7
17,JTEBU4BF5AK677312,3/27/2024,6
18,YV4902BZ3B1571085,3/8/2024,6
19,JA32X8HW4DU112471,3/9/2024,8
20,2V4RW3DG3BR075885,3/4/2024,8
21,1N6AF0KY8EN301340,3/16/2024,8
22,WAUAVAFD1BN725289,3/26/2024,3
23,5FPYK1F54EB699171,3/18/2024,4
24,WBANA53525B890789,3/12/2024,2
25,JHMGE8G31DC042601,2/27/2024,3
26,WBAKN9C52FD454948,3/6/2024,2
27,JN1CV6FE9BM350522,2/27/2024,6
28,KNDJN2A20F7527795,3/23/2024,10
29,WAUKG68E45A968897,3/24/2024,1
30,WBAGL63555D175941,3/13/2024,1
31,1ZVBP8AM4E5837099,3/1/2024,7
32,WBAEV53433K065062,3/21/2024,1
33,WBA3A9C54EF390852,3/5/2024,6
34,1GYS4GEF8BR662002,2/28/2024,4
35,WAULD54B72N158381,3/6/2024,2
36,WAUAVAFDXBN400558,3/22/2024,1
37,3C63D3HL2CG915019,3/22/2024,6
38,2C3CCABG4DH628007,3/26/2024,8
39,WAUEFBFL6AN471783,3/23/2024,3
40,WBA8Z5C54FG645390,3/6/2024,3
41,WBAYM1C59ED252895,3/2/2024,2
42,ZFBCFADH3EZ855394,3/7/2024,9
43,JN1AZ4EH2CM793656,3/18/2024,8
44,1GKS1KE09CR861448,3/21/2024,1
45,3GYFNDE38FS765734,2/29/2024,4
46,WBAYA8C51FG901445,3/1/2024,9
47,WBAVC73537A315440,3/27/2024,1
48,WAULD54BX3N007116,3/15/2024,7
49,1G6AG5RX6D0531547,3/5/2024,6
50,2C3CDYCJ0EH739249,3/15/2024,4
